release_date,time,actual,forcast,previous,year_,month_
"Apr 01, 1995 (Mar)",13:30,0.20%, ,0.30%,1995,3
"Mar 01, 1995 (Feb)",13:30,0.30%, ,0.30%,1995,2
"Feb 01, 1995 (Jan)",13:30,0.30%, ,0.20%,1995,1
"Jan 01, 1995 (Dec)",13:30,0.20%, ,0.30%,1994,12
"Dec 01, 1994 (Nov)",13:30,0.30%, ,0.10%,1994,11
"Nov 01, 1994 (Oct)",13:30,0.10%, ,0.20%,1994,10
"Oct 01, 1994 (Sep)",13:30,0.20%, ,0.40%,1994,9
"Sep 01, 1994 (Aug)",13:30,0.40%, ,0.30%,1994,8
"Aug 01, 1994 (Jul)",13:30,0.30%, ,0.30%,1994,7
"Jul 01, 1994 (Jun)",13:30,0.30%, ,0.20%,1994,6
"Jun 01, 1994 (May)",13:30,0.20%, ,0.10%,1994,5
"May 01, 1994 (Apr)",13:30,0.10%, ,0.30%,1994,4
"Apr 01, 1994 (Mar)",13:30,0.30%, ,0.30%,1994,3
"Mar 01, 1994 (Feb)",13:30,0.30%, ,0.00%,1994,2
"Feb 01, 1994 (Jan)",13:30,0.00%, ,0.20%,1994,1
"Jan 01, 1994 (Dec)",13:30,0.20%, ,0.30%,1993,12
"Dec 01, 1993 (Nov)",13:30,0.30%, ,0.40%,1993,11
"Nov 01, 1993 (Oct)",13:30,0.40%, ,0.10%,1993,10
"Oct 01, 1993 (Sep)",13:30,0.10%, ,0.20%,1993,9
"Sep 01, 1993 (Aug)",13:30,0.20%, ,0.10%,1993,8
"Aug 01, 1993 (Jul)",13:30,0.10%, ,0.10%,1993,7
"Jul 01, 1993 (Jun)",13:30,0.10%, ,0.30%,1993,6
"Jun 01, 1993 (May)",13:30,0.30%, ,0.30%,1993,5
"May 01, 1993 (Apr)",13:30,0.30%, ,0.10%,1993,4
"Apr 01, 1993 (Mar)",13:30,0.10%, ,0.20%,1993,3
"Mar 01, 1993 (Feb)",13:30,0.20%, ,0.40%,1993,2
"Feb 01, 1993 (Jan)",13:30,0.40%, ,0.10%,1993,1
"Jan 01, 1993 (Dec)",13:30,0.10%, ,0.30%,1992,12
